
STARTED ORDER 1

1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 2770, 5993, 22891, 14404, 7930, 23719, 10868, 3541, 2122, 3524, 25121, 15291
1, 7255, 7479, 15850, 7793, 2733, 6868, 22545, 6231, 5998, 8044, 15968, 8367
2, 8879, 11511, 14388, 7035, 2495, 7289, 24734, 7295, 4964, 6675, 19029, 11145
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 7964, 10348, 13633, 8016, 1684, 4272, 26597, 7408, 6024, 9669, 15403, 8865
3, 11519, 13208, 11420, 5142, 2914, 7784, 24622, 5969, 2447, 3417, 22127, 13298
3, 5398, 7702, 16888, 9145, 2015, 5164, 24395, 7559, 7503, 11351, 12766, 7513
4, 7216, 7263, 16982, 9402, 3183, 9968, 21947, 5765, 5457, 7776, 17790, 9840
4, 10315, 15316, 8994, 4091, 1918, 5430, 23775, 7593, 2527, 3210, 20707, 12272
4, 3812, 4022, 21026, 12384, 4233, 12698, 19052, 5261, 6111, 10368, 15322, 9443
5, 13865, 16533, 6430, 3165, 218, 406, 31567, 7802, 3922, 5049, 20001, 11021
5, 10028, 12645, 13174, 5768, 1597, 4484, 27106, 8428, 5362, 7499, 18322, 10432
5, 12029, 16111, 8618, 4792, 1942, 6132, 26144, 7332, 2178, 3158, 22937, 13277
6, 12211, 14009, 11445, 5223, 1254, 3498, 30170, 7966, 5214, 6702, 19952, 11020
6, 11629, 16584, 7953, 2088, 1901, 3478, 25063, 7812, 2089, 2573, 20857, 12735
6, 9328, 12473, 12992, 5272, 3064, 7291, 22908, 6802, 3542, 4367, 20099, 12057
7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 11633, 12574, 15049, 4844, 4404, 9190, 24428, 6078, 3021, 3278, 23681, 14120
7, 9073, 10184, 13271, 6912, 3427, 10515, 20285, 5213, 2772, 3469, 21156, 12043
8, 14813, 17868, 6516, 1873, 1344, 2510, 29433, 7783, 2253, 2282, 23531, 13004
8, 15330, 18220, 6991, 1942, 628, 1140, 32046, 8669, 3559, 3606, 22963, 12355
8, 10229, 12564, 11419, 4576, 1245, 3007, 26336, 8200, 5286, 6457, 17793, 9252
9, 14896, 21171, 4199, 1741, 211, 380, 31943, 9473, 2357, 2992, 23329, 13329
9, 16450, 25160, 1685, 602, 134, 532, 33142, 10089, 824, 797, 26478, 15798
9, 16672, 24728, 1685, 580, 97, 286, 33024, 10258, 853, 1029, 26578, 15205
