
STARTED

1,  1,  1,  9698, 9224, 19844, 8387, 1331, 2186, 34350, 9286, 12142, 12572, 16130, 6309
2,  2,  2,  17484, 23124, 5748, 992, 534, 416, 36218, 10180, 3654, 2136, 27054, 14504
3,  3,  3,  10032, 10491, 15875, 7528, 2586, 4525, 29674, 7141, 8593, 7699, 19588, 8046
4,  4,  4,  16916, 25383, 4571, 917, 429, 537, 35851, 10970, 2624, 1898, 27334, 15931
5,  5,  5,  17234, 23261, 4621, 751, 473, 364, 35289, 9741, 2960, 1575, 26624, 14708
6,  6,  6,  13922, 18892, 11647, 2526, 1410, 1363, 33740, 10474, 6795, 4605, 23727, 11860
7,  7,  7,  16826, 23783, 3754, 682, 258, 199, 34786, 9802, 2487, 1492, 26076, 14990
8,  8,  8,  14970, 19682, 8067, 2114, 1729, 2329, 32088, 8687, 3617, 2506, 24994, 13716
9,  9,  9,  16039, 19663, 8036, 2056, 1073, 1358, 34174, 9189, 4519, 3142, 25215, 12918
10,  10,  10,  13929, 20098, 6648, 1071, 947, 1009, 30187, 9603, 3461, 2302, 23248, 12735
20,  20,  20,  14926, 21198, 8469, 1637, 1863, 2593, 32283, 9491, 3699, 1951, 25966, 14614
30,  30,  30,  17110, 22252, 5726, 829, 472, 344, 34840, 10261, 3615, 2124, 26548, 13630
40,  40,  40,  16954, 23397, 4135, 663, 518, 474, 34483, 9674, 2513, 1293, 26516, 14827
50,  50,  50,  16480, 22296, 4661, 634, 291, 261, 33488, 10031, 3011, 1732, 25704, 13624
60,  60,  60,  15683, 25029, 3649, 399, 132, 115, 33757, 10756, 2547, 1254, 25716, 15243
70,  70,  70,  15414, 21198, 5363, 863, 415, 431, 32329, 9663, 3333, 2047, 24308, 13150
80,  80,  80,  17406, 23881, 4618, 762, 403, 338, 35892, 10034, 2970, 1669, 26936, 15092
90,  90,  90,  15668, 20859, 4847, 1077, 373, 570, 32264, 9244, 3101, 1880, 24482, 12988
100,  100,  100,  15734, 22257, 5284, 804, 690, 693, 32839, 9857, 3073, 1632, 25453, 13921
400,  400,  400,  17758, 23838, 3829, 494, 358, 263, 35575, 9723, 2412, 1290, 27043, 15174
700,  700,  700,  15384, 22767, 6217, 837, 482, 396, 33835, 10492, 3972, 2204, 24991, 14038
1000,  1000,  1000,  15799, 25316, 4576, 494, 338, 172, 34347, 11328, 2888, 1672, 26287, 15338
1300,  1300,  1300,  16756, 23383, 3496, 467, 209, 147, 33682, 10064, 2344, 1263, 26233, 14262
